QUESTION_ID,TOPIC,SUBTOPIC,mock_appearance,bluebook_appearance,QUESTION_PROMPT
00221c00,EXPRESSIONS,Transitions,,,"In 1815, while in exile in Jamaica, Venezuelan revolutionary SimÃƒÂ³n BolÃƒÂ­var penned a letter praising EnglandÃ¢â‚¬â„¢s republican government and expressing hope that Latin American nations seeking independence from Spain might achieve something similar. The letter was addressed to a local merchant, Henry Cullen; ______ though, BolÃƒÂ­varÃ¢â‚¬â„¢s goal was to persuade political leaders from England and Europe to support his cause. Which choice completes the text with the most logical transition?"
0045c234,INFO_IDEAS,Command of Evidence,,,"Given that stars and planets initially form from the same gas and dust in space, some astronomers have posited that host stars (such as the Sun) and their planets (such as those in our solar system) are composed of the same materials, with the planets containing equal or smaller quantities of the materials that make up the host star. This idea is also supported by evidence that rocky planets in our solar system are composed of some of the same materials as the Sun. Which finding, if true, would most directly weaken the astronomersâ€™ claim?"
00460c13,EXPRESSIONS,Rhetorical Syntesis,,,"While researching a topic, a student has taken the following notes: Novelist Willa Cather grew up in Nebraska and attended the University of Nebraska-Lincoln. Some of CatherÃ¢â‚¬â„¢s best-known novels are set in Nebraska. Two such novels are O Pioneers! (1913) and My ÃƒÂntonia (1918). CatherÃ¢â‚¬â„¢s novels describe the experiences of immigrants who settled in the Great Plains. The student wants to identify the setting of CatherÃ¢â‚¬â„¢s novel My ÃƒÂntonia.Ã‚ Which choice most effectively uses relevant information from the notes to accomplish this goal?"
00e0170f,EXPRESSIONS,Transitions,902D Upper,,"Magnetic levitation (maglev) trains are suspended above a track by powerful electromagnets, reducing friction and thus allowing for much faster speeds. Though maglev advocates in the US have long imagined these trains crisscrossing the country, their dream remains unrealized. ______ of the handful of maglev trains currently in operation, all are in Asia. Which choice completes the text with the most logical transition?"
010fa3f0,INFO_IDEAS,Command of Evidence,,BB6 UPPER,"Simulated Change in Annual Aquifer Input and Irrigation Output if Precipitation Concentration Increases as Climate Models Predict Baseline concentration of annual precipitation % change in water entering aquifers % change in surface water used for irrigation % change in groundwater used for irrigation Precipitation is currently somewhat concentrated 4.9 0.4 0.9 Precipitation is currently evenly distributed 11.0 9.0 7.9 Some climate models for the western United States predict that while total annual precipitation may remain unchanged from the present level, precipitation will become concentrated into fewer but more intense rain and snow events. University of Texas climate scientist Geeta Persad and her colleagues simulated how the amount of water entering aquifers and the amount being used for irrigation purposes would change if this were to occur. Persad and her colleagues concluded that concentration of precipitation into fewer events would result in a higher number of dry days, triggering more irrigation, but that this change in irrigation output is highly sensitive to the baseline concentration of precipitation that currently exists in an area. Which choice best describes data from the table that support Persad and her colleaguesÃ¢â‚¬â„¢ conclusion?"
0113152f,INFO_IDEAS,Command of Evidence,,,"American fashion designer Patrick Kelly was known for his love of colorful buttons. Many of his signature dresses feature bold assortments of buttons throughout the garment. In a paper, a fashion design student claims that KellyÃ¢â‚¬â„¢s use of buttons as decoration was inspired by his childhood observations of the styles and actions of the women in his family. Which quotation from a work by a historian would be the most effective evidence for the student to include in support of this claim?"
014b3394,INFO_IDEAS,Command of Evidence,,BB10 UPPER,"Average Number and Duration of Torpor Bouts and Arousal Episodes for Alaska Marmots and Arctic Ground Squirrels, 2008Ã¢â‚¬â€œ2011 Feature Alaska marmots Arctic ground squirrels torpor bouts 12 10.5 duration per bout 13.81 days 16.77 days arousal episodes 11 9.5 duration per episode 21.2 hours 14.2 hours When hibernating, Alaska marmots and Arctic ground squirrels enter a state called torpor, which minimizes the energy their bodies need to function. Often a hibernating animal will temporarily come out of torpor (called an arousal episode) and its metabolic rate will rise, burning more of the precious energy the animal needs to survive the winter. Alaska marmots hibernate in groups and therefore burn less energy keeping warm during these episodes than they would if they were alone. A researcher hypothesized that because Arctic ground squirrels hibernate alone, they would likely exhibit longer bouts of torpor and shorter arousal episodes than Alaska marmots. Which choice best describes data from the table that support the researcherÃ¢â‚¬â„¢s hypothesis?"
0198240a,INFO_IDEAS,Command of Evidence,,BB6 UPPER,"Under normal atmospheric pressure at EarthÃ¢â‚¬â„¢s surface, water molecules form a tetrahedral network stabilized by hydrogen bonds between adjacent molecules. Extreme high pressure, such as can be found in deep ocean waters, destabilizes these bonds and compresses waterÃ¢â‚¬â„¢s structure, allowing water molecules within organisms to permeate proteins and impede crucial biological functions; yet deep-sea organisms known as piezophiles have adapted to extreme pressure. Studies have found a positive correlation between the depths that various piezophiles inhabit and concentrations of a compound called trimethylamine N-oxide (TMAO) in their muscle tissues, which has led a team of researchers to hypothesize that TMAO reduces waterÃ¢â‚¬â„¢s compressibility. Which finding, if true, would most directly support the researchersÃ¢â‚¬â„¢ hypothesis?"
01989d77,INFO_IDEAS,Inferences,,,"Microbes that live in shallow lakes and ponds produce methane, a harmful greenhouse gas. Ecologist Ralf Aben and his team wanted to see how different types of shallow-water plants might affect the amount of methane that escapes into the atmosphere. AbenÃ¢â‚¬â„¢s team set up some water tanks with soil and microbes from local ponds. Some tanks had a type of underwater plant that grows in the soil called watermilfoil. Other tanks had either duckweed, a type of plant that floats on the waterÃ¢â‚¬â„¢s surface, or algae. Aben and his team found that tanks with duckweed and algae released higher levels of methane than tanks with watermilfoil did. This finding suggests that ______ Which choice most logically completes the text?"
01a32c84,ENGLISH_CONV,Boundaries,,,"The first computerized spreadsheet, Dan BricklinÃ¢â‚¬â„¢s VisiCalc, improved financial recordkeeping not only by providing users with an easy means of adjusting data in spreadsheets but also by automatically updating all calculations that were dependent on these ______ to VisiCalcÃ¢â‚¬â„¢s release, changing a paper spreadsheet often required redoing the entire sheet by hand, a process that could take days. Which choice completes the text so that it conforms to the conventions of Standard English?"
