QUESTION_ID,TOPIC,SUBTOPIC,MOCK_APPEARANCE,BLUEBOOK_APPEARANEC,QUESTION_PROMPT
000259aa,PSDA,Rates & Proportions,,,"A group of monarch butterflies migrated from Chicago, Illinois, to MichoacÃƒÂ¡n, Mexico, flying a total of 2,100Ã‚ miles. It took a single butterfly in the group 120Ã‚ days to travel this route one way. On average, how many miles did the butterfly travel per day?"
002dba45,ALGEBRA,Linear Equations 2 Variables,,,Line is defined by . Line is perpendicular to line in the xy-plane. What is the slope of line ?
0108ac2d,PSDA,Sample Size & ME,,,"At a large high school, 300 students were selected at random and were asked in a survey about a menu change in the school cafeteria. All 300 students completed the survey. It was estimated that 38% of the students were in support of a menu change, with a margin of error of 5.5%. Which of the following is the best interpretation of the survey results?"
0121a235,ADV_MATH,Nonlinear Functions,,,"x p(x) The table above gives selected values of a polynomial function p. Based on the values in the table, which of the following must be a factor of p ?"
01668cd6,ADV_MATH,Nonlinear Functions,902D Upper,,"The functions and are defined by the given equations, whereÃ‚ . Which of the following equations displays, as a constant or coefficient, the maximum value of the function it defines, where ?"
01682aa5,ALGEBRA,Linear Equations 2 Variables,,,Line is defined by . Line is perpendicular to line in the xy-plane. What is the slope of line ?
0231050d,PSDA,Percentages,,,"The line graph shows the total amount of snow, in inches, recorded each year in Washington, DC, from 2003 to 2015. If is the percent decrease in the annual snowfall from 2003 to 2007, what is the value of p ?"
023c0a8d,ALGEBRA,Linear Functions,,,"For the function f, if for all values of x, what is the value of ?"
02489d55,ADV_MATH,Equivalent Expressions,,,Which expression is equivalent to ?
029c2dc2,ALGEBRA,Linear Equations 2 Variables,,,"A teacher is creating an assignment worth points. The assignment will consist of questions worth point and questions worth points. Which equation represents this situation, where represents the number of -point questions and represents the number of -point questions?"
02add2d2,ADV_MATH,Nonlinear Functions,,,"A company has a newsletter. In January , there were customers subscribed to the newsletter. For the next months after January , the total number of customers subscribed to the newsletter each month was greater than the total number subscribed the previous month. Which equation gives the total number of customers, , subscribed to the company's newsletter months after January , where ?"
02b02213,GEOM_TRIG,Area & Volume,,BB10 LOWER,"What is the perimeter, in inches, of a rectangle with a length of inches and a width of inches?"
02c67921,ADV_MATH,Nonlinear Functions,,,"The graph of the exponential function is shown, where . The y-intercept of the graph is . What is the value of ?"
0301c5dc,PSDA,Probability,,,"The table below shows the number of state parks in a certain state that contain camping facilities and bicycle paths. Ã‚ Has bicycle paths Does not have bicycle paths Has camping facilities 20 5 Does not have camping facilities 8 4 If one of these state parks is selected at random, what is the probability that it has camping facilities but does not have bicycle paths?"
03503d49,ALGEBRA,Linear Inequalities,,BB9 UPPER,"A business owner plans to purchase the same model of chair for each of the employees. The total budget to spend on these chairs is , which includes a sales tax. Which of the following is closest to the maximum possible price per chair, before sales tax, the business owner could pay based on this budget?"
0354c7de,ADV_MATH,Equivalent Expressions,,,Which of the following is equivalent to the given expression?
0366d965,ALGEBRA,Linear Equations 2 Variables,901D Medium,,"x y 3 7 k 11 12 n The table above shows the coordinates of three points on a line in the xy-plane, where k and n are constants. If the slope of the line is 2, what is the value of Ã‚ ?"
0380bbdc,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB6 MEDIUM,"If , what is the value of ?"
038d87d7,ALGEBRA,Linear Equations 2 Variables,,,A neighborhood consists of a -hectare park and a -hectare residential area. The total number of trees in the neighborhood is . The equation represents this situation. Which of the following is the best interpretation of x in this context?
0393ba15,ALGEBRA,Linear Equations 1 Variable,,BB6 UPPER,How many solutions does the given equation have?
03a16790,PSDA,Data 2 Variable,,,"The scatterplot shows the relationship between two variables, and . A line of best fit is also shown. Which of the following is closest to the slope of the line of best fit shown?"
03ff48d2,ADV_MATH,"Nonlinear Eq. 1 Var., Sys. 2 Var.",,BB10 UPPER,"In the given equation, is an integer constant. If the equation has no real solution, what is the least possible value of ?"
